Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Ranieri L.;Fiorentina;Difensore;5.91;6.07;8.0;22
Raspadori;Napoli;Attaccante;5.67;6.08;4.0;6
Ravaglia F.;Bologna;Portiere;6.0;5.0;6.0;7
Rebic;Lecce;Attaccante;5.85;5.88;5.0;13
Reijnders;Milan;Centrocampista;6.38;7.38;26.0;21
Reina;Como;Portiere;6.0;4.8;8.0;10
Rensch;Roma;Difensore;6.25;6.25;6.0;2
Retegui;Atalanta;Attaccante;6.52;8.74;34.0;21
Ricci S.;Torino;Centrocampista;6.13;6.22;12.0;23
Richardson;Fiorentina;Centrocampista;5.8;5.7;4.0;15
Rinaldi;Parma;Portiere;0.0;0.0;;0
Rocha Livramento;Verona;Attaccante;5.7;5.87;5.0;15
Romagnoli;Lazio;Difensore;5.76;5.68;5.0;19
Rossi F.;Atalanta;Portiere;0.0;0.0;1.0;0
Rouhi;Juventus;Difensore;5.5;5.5;1.0;3
Rovella;Lazio;Centrocampista;6.18;6.0;9.0;20
Rrahmani;Napoli;Difensore;6.22;6.35;14.0;23
Rugani;Juventus;Difensore;0.0;0.0;;0
Ruggeri;Atalanta;Difensore;5.97;6.03;10.0;19
Rui Modesto;Udinese;Centrocampista;6.0;6.0;3.0;4
Rui Patricio;Atalanta;Portiere;6.0;5.0;2.0;1
Ryan;Roma;Portiere;0.0;0.0;;0
Sabelli;Genoa;Difensore;5.84;5.84;7.0;19
Saelemaekers;Roma;Centrocampista;6.42;7.42;16.0;12
Sagrado;Venezia;Difensore;5.5;5.33;1.0;3
Sala M.;Lecce;Difensore;5.5;5.25;1.0;4
Salah-Eddine;Roma;Difensore;0.0;0.0;2.0;0
Salama;Torino;Attaccante;0.0;0.0;4.0;0
Samardzic;Atalanta;Centrocampista;6.2;6.45;17.0;20
Sambia;Empoli;Difensore;6.0;6.0;1.0;1
Samooja;Lecce;Portiere;0.0;0.0;1.0;0
Sanabria;Torino;Attaccante;5.7;5.87;5.0;15
Sanchez;Udinese;Attaccante;5.67;5.67;3.0;3
Sangare' B.;Roma;Difensore;0.0;0.0;1.0;0
Sansone;Lecce;Attaccante;0.0;0.0;1.0;0
Sarr A.;Verona;Attaccante;5.93;6.57;15.0;14
Sava;Udinese;Portiere;6.0;4.28;7.0;9
Savona;Juventus;Difensore;5.98;6.19;13.0;21
Sazonov;Empoli;Difensore;5.0;5.0;1.0;1
Scalvini;Atalanta;Difensore;5.5;5.25;2.0;4
Scamacca;Atalanta;Attaccante;0.0;0.0;14.0;0
Schingtienne;Venezia;Difensore;4.75;4.5;1.0;2
Schuurs;Torino;Difensore;0.0;0.0;1.0;0
Scott;Lecce;Difensore;0.0;0.0;1.0;0
Scuffet;Napoli;Portiere;5.85;4.08;3.0;13
Seghetti;Empoli;Portiere;6.5;3.5;1.0;1
Selvik;Udinese;Portiere;0.0;0.0;;0
Sensi;Monza;Centrocampista;5.75;5.75;2.0;4
Serdar;Verona;Centrocampista;5.75;5.89;6.0;14
