Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Di Gregorio;Juventus;Portiere;6.16;5.21;14.0;19
Di Lorenzo;Napoli;Difensore;6.22;6.59;19.0;23
Di Pardo;Cagliari;Difensore;0.0;0.0;;0
Dia;Lazio;Attaccante;6.18;7.22;24.0;20
Diao;Como;Centrocampista;6.2;7.2;10.0;5
Dimarco;Inter;Difensore;6.32;6.88;21.0;20
Djalo';Juventus;Difensore;0.0;0.0;;0
Djimsiti;Atalanta;Difensore;5.8;5.75;6.0;20
Djuric;Parma;Attaccante;5.95;6.52;17.0;20
Dodo';Fiorentina;Difensore;6.25;6.2;12.0;22
Dominguez B.;Bologna;Attaccante;6.72;7.83;16.0;9
Donnarumma An.;Torino;Portiere;0.0;0.0;1.0;0
Dorgu;Lecce;Difensore;5.83;6.12;;21
Dossena;Como;Difensore;5.78;5.82;6.0;20
Douglas Luiz;Juventus;Centrocampista;5.85;5.77;10.0;13
Doumbia I.;Venezia;Centrocampista;5.78;5.78;3.0;9
Douvikas;Como;Attaccante;6.0;6.0;8.0;1
Dovbyk;Roma;Attaccante;6.0;7.24;25.0;21
Duda;Verona;Centrocampista;5.97;5.83;5.0;15
Dumfries;Inter;Difensore;6.25;7.1;23.0;20
Duncan;Venezia;Centrocampista;5.77;5.73;3.0;11
Dybala;Roma;Attaccante;6.44;7.38;25.0;17
Ebosele;Udinese;Difensore;0.0;0.0;;0
Ebosse;Udinese;Difensore;5.5;5.25;;2
Ebuehi;Empoli;Difensore;0.0;0.0;1.0;0
Ederson D.s.;Atalanta;Centrocampista;6.22;6.5;17.0;23
Ehizibue;Udinese;Difensore;5.95;5.9;7.0;20
Ekhator;Genoa;Attaccante;6.0;6.44;8.0;8
Ekkelenkamp;Udinese;Centrocampista;5.95;6.03;8.0;19
Ekong;Empoli;Attaccante;5.94;5.94;;8
Ekuban;Genoa;Attaccante;5.94;6.31;6.0;8
El Azzouzi;Bologna;Centrocampista;0.0;0.0;1.0;0
El Haddad;Venezia;Centrocampista;0.0;0.0;1.0;0
El Shaarawy;Roma;Centrocampista;6.23;6.97;18.0;15
Ellertsson;Venezia;Centrocampista;5.98;6.3;13.0;22
Elmas;Torino;Centrocampista;0.0;0.0;11.0;0
Emerson Royal;Milan;Difensore;5.62;5.47;6.0;17
Engelhardt;Como;Centrocampista;5.79;5.96;8.0;14
Erlic;Bologna;Difensore;6.25;6.25;4.0;4
Esposito Se.;Empoli;Attaccante;6.39;7.47;23.0;19
Esteves G.;Udinese;Difensore;0.0;0.0;;0
Estevez;Parma;Centrocampista;5.75;5.58;1.0;6
Fabbian;Bologna;Centrocampista;6.14;6.54;12.0;14
Fadera;Como;Centrocampista;6.02;6.26;14.0;21
Fagioli;Fiorentina;Centrocampista;5.7;5.5;3.0;10
Falcone;Lecce;Portiere;6.3;4.63;10.0;23
Faraoni;Verona;Difensore;5.5;5.5;2.0;4
Fazzini;Empoli;Centrocampista;6.33;6.25;9.0;12
Felici;Cagliari;Centrocampista;6.0;6.23;11.0;11
Ferguson;Bologna;Centrocampista;6.25;6.75;12.0;6
Ferreira J.;Udinese;Difensore;0.0;0.0;;0
Fila;Venezia;Attaccante;0.0;0.0;9.0;0
Florenzi;Milan;Difensore;0.0;0.0;1.0;0
Fofana Y.;Milan;Centrocampista;6.08;6.3;12.0;20
Folorunsho;Fiorentina;Centrocampista;6.0;5.8;3.0;5
Forson O.;Monza;Centrocampista;5.5;5.5;1.0;2
Frattesi;Inter;Centrocampista;6.13;7.0;20.0;15
Frendrup;Genoa;Centrocampista;6.11;6.32;12.0;22
Frese;Verona;Difensore;5.7;5.7;1.0;5
Freuler;Bologna;Centrocampista;6.25;6.23;13.0;22
Fruchtl;Lecce;Portiere;0.0;0.0;1.0;0
Furlanetto;Lazio;Portiere;0.0;0.0;1.0;0
Gabbia;Milan;Difensore;6.15;6.27;11.0;13
Gabrielloni;Como;Attaccante;6.67;7.83;4.0;3
Gaetano;Cagliari;Centrocampista;5.97;6.21;10.0;17
Gagliardini;Monza;Centrocampista;5.5;5.33;1.0;3
Gallo;Lecce;Difensore;5.94;5.97;6.0;16
Ganvoula;Monza;Attaccante;0.0;0.0;7.0;0
Gaspar K.;Lecce;Difensore;6.03;6.0;7.0;15
Gatti;Juventus;Difensore;6.11;6.2;12.0;22
Gendrey;Lecce;Difensore;5.25;5.25;;2
Ghilardi;Verona;Difensore;5.77;5.62;4.0;13
Giannetti L.;Udinese;Difensore;5.68;5.41;2.0;11
Gigot;Lazio;Difensore;6.2;7.2;11.0;5
Gila;Lazio;Difensore;6.03;5.95;9.0;19
Gilmour;Napoli;Centrocampista;5.92;5.92;3.0;6
Gimenez;Milan;Attaccante;0.0;0.0;30.0;0
Gineitis;Torino;Centrocampista;6.03;6.3;11.0;15
Gioacchini;Como;Attaccante;0.0;0.0;;0
Godfrey;Atalanta;Difensore;6.0;6.0;;1
Goglichidze;Empoli;Difensore;5.85;5.8;7.0;20
Goldaniga;Como;Difensore;5.71;5.47;3.0;17
Gollini;Roma;Portiere;5.86;4.07;2.0;7
Gonzalez N.;Juventus;Attaccante;6.05;6.55;12.0;10
Gosens;Fiorentina;Difensore;6.14;6.43;16.0;21
Gourna-Douath;Roma;Centrocampista;0.0;0.0;4.0;0
Grandi;Venezia;Portiere;0.0;0.0;1.0;0
Grassi;Empoli;Centrocampista;5.93;5.75;4.0;14
Gudmundsson A.;Fiorentina;Attaccante;6.05;7.14;22.0;11
Guendouzi;Lazio;Centrocampista;6.07;6.22;12.0;23
Guilbert;Lecce;Difensore;5.61;5.44;4.0;18
Gyasi;Empoli;Centrocampista;5.91;6.13;12.0;23
Gytkjaer;Venezia;Attaccante;5.79;6.21;4.0;7
Haas;Empoli;Centrocampista;6.08;6.0;2.0;6
Hainaut;Parma;Centrocampista;5.72;5.84;7.0;16
Haj Mohamed;Parma;Attaccante;6.0;6.22;8.0;9
Haps;Venezia;Difensore;5.7;5.6;4.0;15
Harroui;Verona;Centrocampista;5.95;6.4;7.0;10
Hasa;Napoli;Centrocampista;0.0;0.0;1.0;0
Hateboer;Atalanta;Difensore;0.0;0.0;;0
Hatzidiakos;Cagliari;Difensore;0.0;0.0;;0
Helgason;Lecce;Centrocampista;6.17;6.5;3.0;3
Henderson L.;Empoli;Centrocampista;6.05;6.0;8.0;20
Hermoso;Roma;Difensore;5.12;4.88;;4
Hernandez T.;Milan;Difensore;5.95;6.26;13.0;19
Hernani;Parma;Centrocampista;6.13;6.7;14.0;15
Hien;Atalanta;Difensore;6.08;5.94;8.0;18
Holm;Bologna;Difensore;6.06;6.39;8.0;9
Hummels;Roma;Difensore;6.0;5.72;4.0;9
Hysaj;Lazio;Difensore;6.12;6.62;7.0;4
Ibrahimovic A.;Lazio;Centrocampista;0.0;0.0;3.0;0
Idzes;Venezia;Difensore;5.88;5.95;8.0;21
Ikone';Como;Centrocampista;5.83;5.83;6.0;15
Ilic;Torino;Centrocampista;6.08;6.21;8.0;12
Ilic M.;Bologna;Difensore;0.0;0.0;;0
Iling Junior;Bologna;Centrocampista;6.0;6.75;;4
Iovine;Como;Difensore;5.64;5.5;1.0;7
Isaksen;Lazio;Attaccante;6.02;6.24;12.0;23
Ismajli;Empoli;Difensore;6.2;6.17;12.0;23
Izzo;Monza;Difensore;5.62;5.45;4.0;20
Jack;Como;Difensore;0.0;0.0;1.0;0
Jajalo;Venezia;Centrocampista;0.0;0.0;;0
Jankto;Cagliari;Centrocampista;0.0;0.0;1.0;0
Jasim;Como;Attaccante;0.0;0.0;;0
Jean;Lecce;Difensore;5.77;5.77;5.0;11
Jimenez A.;Milan;Difensore;6.14;6.0;6.0;7
Joao Costa;Roma;Attaccante;0.0;0.0;;0
Joao Felix;Milan;Attaccante;0.0;0.0;12.0;0
Joronen;Venezia;Portiere;5.5;3.38;2.0;8
Jovic;Milan;Attaccante;5.5;5.33;2.0;3
Juan Jesus;Napoli;Difensore;5.81;5.88;5.0;8
Kaba;Lecce;Centrocampista;5.83;5.75;3.0;6
Kabasele;Udinese;Difensore;5.69;5.92;5.0;13
Kalulu;Juventus;Difensore;6.14;6.25;11.0;18
Kamara H.;Udinese;Difensore;6.0;6.18;10.0;17
Karamoh;Torino;Attaccante;6.0;6.09;8.0;11
Karlsson;Lecce;Centrocampista;5.83;6.06;5.0;9
Karlstrom;Udinese;Centrocampista;5.82;5.7;5.0;22
Kasa;Genoa;Centrocampista;6.0;6.0;2.0;1
Kastanos;Verona;Centrocampista;5.87;6.0;7.0;15
Kayode;Fiorentina;Difensore;5.5;5.5;;2
Kean;Fiorentina;Attaccante;6.45;8.32;33.0;22
Keita M.;Parma;Centrocampista;5.54;5.39;4.0;14
Kelly L.;Juventus;Difensore;5.5;5.5;6.0;1
Kempf;Como;Difensore;5.89;5.82;7.0;19
Kolasinac;Atalanta;Difensore;6.0;5.78;5.0;16
Kolo Muani;Juventus;Attaccante;7.5;12.5;19.0;3
Kone B.;Como;Centrocampista;6.0;6.0;;1
Kone' M.;Roma;Centrocampista;6.25;6.48;15.0;20
Koopmeiners;Juventus;Centrocampista;6.02;6.3;15.0;20
Kossounou;Atalanta;Difensore;5.95;5.91;6.0;11
Kostic;Juventus;Centrocampista;0.0;0.0;;0
Kouame';Empoli;Attaccante;5.79;5.82;5.0;14
Kouda;Parma;Centrocampista;0.0;0.0;;0
Kovacik;Como;Difensore;0.0;0.0;;0
Kowalski;Parma;Attaccante;0.0;0.0;1.0;0
Kristensen T.;Udinese;Difensore;5.59;5.45;4.0;11
Krstovic;Lecce;Attaccante;6.0;6.87;18.0;23
Kumbulla;Roma;Difensore;0.0;0.0;;0
Kvaratskhelia;Napoli;Attaccante;6.21;7.24;;17
Kyriakopoulos;Monza;Difensore;5.98;6.32;13.0;20
Lambourde;Verona;Attaccante;6.25;7.75;2.0;2
Lapadula;Cagliari;Attaccante;5.75;5.7;;10
Lazaro;Torino;Difensore;6.1;6.28;11.0;20
Lazovic;Verona;Centrocampista;5.92;6.22;13.0;20
Lazzari;Lazio;Difensore;6.0;6.04;7.0;14
Le Fee;Roma;Centrocampista;6.0;5.9;;5
Leali;Genoa;Portiere;6.19;5.16;14.0;16
Leao;Milan;Attaccante;6.15;6.9;22.0;20
Lekovic;Monza;Difensore;4.75;3.75;1.0;2
Lella;Venezia;Centrocampista;0.0;0.0;;0
Leoni;Parma;Difensore;5.5;5.5;2.0;5
Liberali;Milan;Centrocampista;6.0;6.0;1.0;1
Linetty;Torino;Centrocampista;5.81;5.84;5.0;16
Listkowski;Lecce;Centrocampista;0.0;0.0;;0
Lobotka;Napoli;Centrocampista;6.11;6.08;9.0;19
Locatelli;Juventus;Centrocampista;6.19;6.12;11.0;21
Loftus-Cheek;Milan;Centrocampista;5.96;5.92;9.0;12
Lookman;Atalanta;Attaccante;6.53;8.24;36.0;19
Lovik;Parma;Difensore;5.5;5.5;2.0;1
Lovric;Udinese;Centrocampista;6.05;6.36;13.0;22
Lucca;Udinese;Attaccante;6.14;7.23;23.0;22
Lucchesi;Venezia;Difensore;0.0;0.0;;0
Lucumi';Bologna;Difensore;5.92;5.78;6.0;18
Lukaku;Napoli;Attaccante;6.29;7.64;30.0;21
Luperto;Cagliari;Difensore;5.91;6.09;10.0;23
Luvumbo;Cagliari;Attaccante;5.88;6.06;8.0;16
Lykogiannis;Bologna;Difensore;6.2;6.5;10.0;10
Machin;Monza;Centrocampista;0.0;0.0;;0
Magnani;Verona;Difensore;5.29;5.43;;14
Maignan;Milan;Portiere;6.23;5.25;15.0;22
Makoumbou;Cagliari;Centrocampista;5.64;5.64;5.0;18
Maldini;Atalanta;Centrocampista;5.98;6.3;11.0;20
Maleh;Empoli;Centrocampista;5.89;5.84;6.0;19
Malinovskyi;Genoa;Centrocampista;6.2;6.1;3.0;5
Man;Parma;Centrocampista;6.05;6.76;20.0;21
Mancini;Roma;Difensore;6.13;6.22;13.0;23
Mandas;Lazio;Portiere;0.0;0.0;1.0;0
Mandragora;Fiorentina;Centrocampista;5.96;6.08;6.0;13
Manzoni;Atalanta;Centrocampista;0.0;0.0;1.0;0
Marcandalli;Venezia;Difensore;5.5;5.5;2.0;1
Marchwinski;Lecce;Centrocampista;0.0;0.0;1.0;0
Marcone;Parma;Portiere;0.0;0.0;1.0;0
Mari';Fiorentina;Difensore;5.84;5.74;5.0;19
Marianucci;Empoli;Difensore;5.5;5.5;2.0;2
Maric;Venezia;Attaccante;6.0;6.0;1.0;1
Marin;Cagliari;Centrocampista;6.06;6.56;14.0;18
Marin R.;Napoli;Difensore;0.0;0.0;1.0;0
Marin Re.;Roma;Portiere;0.0;0.0;1.0;0
Mario Rui;Napoli;Difensore;0.0;0.0;;0
Maripan;Torino;Difensore;5.96;6.12;7.0;13
Martin;Genoa;Difensore;6.16;6.2;11.0;22
Martinelli T.;Fiorentina;Portiere;0.0;0.0;1.0;0
Martinez Jo.;Inter;Portiere;0.0;0.0;1.0;0
Martinez L.;Inter;Attaccante;6.26;7.69;31.0;21
Martinez Quarta;Fiorentina;Difensore;5.86;6.21;;7
Martins K.;Monza;Centrocampista;6.25;6.38;7.0;4
Marusic;Lazio;Difensore;5.91;6.24;9.0;17
Masina;Torino;Difensore;5.97;6.19;11.0;18
Masini;Genoa;Centrocampista;6.17;7.17;4.0;3
Matturro;Genoa;Difensore;5.62;5.56;2.0;8
Mazza;Monza;Portiere;0.0;0.0;1.0;0
Mazzitelli;Como;Centrocampista;6.0;6.44;;8
Mazzocchi;Napoli;Difensore;5.71;5.64;2.0;7
Mbangula;Juventus;Attaccante;6.42;7.27;14.0;13
McKennie;Juventus;Centrocampista;6.03;6.44;14.0;17
McTominay;Napoli;Centrocampista;6.38;7.12;24.0;20
Melegoni;Genoa;Centrocampista;6.0;6.0;;3
Meret;Napoli;Portiere;6.38;5.78;19.0;20
Messias;Genoa;Centrocampista;6.08;6.08;4.0;6
Mihaila;Parma;Attaccante;5.78;5.88;7.0;20
Milik;Juventus;Attaccante;0.0;0.0;1.0;0
Milinkovic-Savic V.;Torino;Portiere;6.41;5.68;18.0;22
Mina;Cagliari;Difensore;5.95;5.79;6.0;19
Miranda J.;Bologna;Difensore;6.09;6.24;10.0;17
